,formula
100948,Li2CrSn(PO4)2
100949,Y2HfO5
100950,SrLa2O4
100951,KCoO2
100952,Li2MnF6
100953,Na2NiO2
100954,NaLiV(OF)2
100955,SbO2F
100956,MnNiO2
100957,FeOF
100958,Li3V4O5F7
100959,LiAg2F4
100960,Li3Fe(BO2)5
100961,Li3Co2Cu3O10
100962,Li5V2Cr2O8
100963,La3ScO6
100964,Li3FeCo3O8
100965,Li5Co7O3F13
100966,Li2V3O3F5
100967,Ba(NaSi2)2
100968,Co6O7F5
100969,BaSrI4
100970,Li6Fe5WO12
100971,LiVOF3
100972,VIO4
100973,Tm2TiO5
100974,RbNO2
100975,Sr2HfO4
100976,Li4VO4F
100977,NaV5O10
100978,Na5Cu7O13
100979,LiMnF4
100980,Co6O5F7
100981,Li2VO2F
100982,LiMnPO4
100983,Na2Fe2O5
100984,NiCO4
100985,Mn3O5F
100986,FeOF
100987,Fe2O3F
100988,Li2Fe3(CoO4)3
100989,YbSmO3
100990,Li2Mn2OF6
100991,Mn(AsO2)2
100992,La8Ni4O17
100993,SnP
100994,VF5
100995,NaMn3O4
100996,BiBr3
100997,Li3V2O6
100998,VCo3O8
100999,LiAgF3
101000,Li2CuSiO4
101001,LiVF3
101002,Li2V3CoO8
101003,Co3(OF2)2
101004,LiNbTe2WO12
101005,Li3V2OF7
101006,CoSnO3
101007,Fe4O3F5
101008,Li4(CuO2)3
101009,Mn3F8
101010,LiFe(SiO3)2
101011,LiTi2VO6
101012,LiVF3
101013,Ba2YBr7
101014,Li3FeB4O9
101015,LiCoPO4
101016,LiCoSiO4
101017,Fe3(OF2)2
101018,V2OF5
101019,LiVO2F
101020,Li8(CoO2)5
101021,Li2MnF4
101022,K(CoO2)2
101023,Mn3(O2F)2
101024,VO2F
101025,LiMn2(CO3)4
101026,Mn2CoO6
101027,Li2V4O5F8
101028,Li(CoO2)3
101029,LiSbO3
101030,HoBrO
101031,LiCuCO3
101032,LiV(OF)2
101033,Li3V7O12
101034,Lu3TaO7
101035,VAsO4
101036,NaTi2O4
101037,Li3Fe2(SiO4)2
101038,Al2CuO4
101039,Li3Fe(BO3)2
101040,TiNi(PO4)2
101041,Ba3(BrO)2
101042,SrNiO3
101043,Li4Fe(SiO4)2
101044,Li4Ti2Nb3Cu3O16
101045,Li3V2(FeO4)2
101046,Li3(FeO3)2
101047,Li4Nb2Fe3Ni3O16
101048,BaLa2O4
101049,Li2FeP2O7
101050,Y2SeO2
101051,Li2FeP2O7
101052,LiCoSiO4
101053,LiCo2P4H3O16
101054,Li5(CoO3)2
101055,Li2FeBO4
101056,LiCoPO4
101057,Li3Ti3VO8
101058,LiAg2F4
101059,Li6NbFe5O12
101060,Li2Mn3O6
101061,CeHfO4
101062,Li3FeS3
101063,Ba2SrI6
101064,NaDyO2
101065,Dy2CuO4
101066,BaY3F11
101067,BaYF5
101068,TiBi2O5
101069,Ba2YBr7
101070,AgAuO3
101071,CaGd2O4
101072,Li4FeO3
101073,Ba2Sr7I18
101074,MnCd6O8
101075,BaTm2O4
101076,ZrBiO4
101077,Sm3TaO7
101078,Fe2O3F
101079,MnCdO2
101080,Ba2Na2O3
101081,Ni5Sb(PO4)6
101082,Sr3Hf2O7
101083,K2SnO2
101084,Ba3(ClO)2
101085,Li2VSi4O11
101086,SrCa2I6
101087,Li3FePCO7
101088,LiFeP2O7
101089,Li2CrCu(PO4)2
101090,LiAgF3
101091,CoAgO3
101092,LiCuF3
101093,LiNbNiO4
101094,Li2CoNi3O8
101095,Li5V(SiO4)2
101096,Ti(PO3)4
101097,CeZr11O24
101098,Li2CoBO4
101099,LiVPO4
101100,InBP2H5NO9
101101,Li3CrB4O9
101102,BaSr2I6
101103,LiFeB2O5
101104,HoBO3
101105,P4WO13
101106,Ba3(ClO)2
101107,Li2VNi(PO4)2
101108,La2SiO5
101109,LiFeSiO4
101110,Li3Ni2(CO3)4
101111,LiCu2F5
101112,Li4MnSi2O7
101113,LiVH2OF5
101114,Ho2TiO5
101115,LiAgF2
101116,BaLa2O4
101117,Li2CrPO4F
101118,Rb2S2O7
101119,CaTb2O4
101120,Ba2GeO4
101121,Li2CrSi7O16
101122,VCr(PO4)2
101123,TiGa2O5
101124,LiAg2F4
101125,PdO2
101126,Ca3MnO4
101127,Mn2OF3
101128,Co3NiO8
101129,Fe2O3F
101130,LiMnF4
101131,LiVPO4
101132,LiCu2F4
101133,Li2MnPO5
101134,Li4Mn5O9F
101135,Li4MnCr(WO6)2
101136,CdCoO3
101137,Li5VO3F2
101138,Mn3OF5
101139,NaCo3O4
101140,Li3Ni4O4F3
101141,Mn2FeO6
101142,LiMnF6
101143,SbO2F
101144,Hf2N2O
101145,NaSbO3
101146,Mn2OF3
101147,V2OF5
101148,Li3V4O11F
101149,Co2NiO6
101150,Li2CoO3
101151,Fe4O3F5
101152,Li2MnF4
101153,Li3CoOF3
101154,LiVF3
101155,LiV2(CO3)4
101156,Li2CrSiO4
101157,LiAgF2
101158,LiAgF4
101159,Li2Mn3F8
101160,Li2FeP2O7
101161,Co2(CO3)3
101162,Li4CuF5
101163,LiNiPO4
101164,LiFe2OF3
101165,VO2F
101166,Li4Fe3CoO8
101167,CsLiMnP3HO10
101168,Li2VF6
101169,Li8FeCo3O8
101170,Mn6O5F7
101171,Li5Ti2Mn3O10
101172,Ca2CuB2(HO)12
101173,MnOF
101174,Sm4U4O17
101175,Ti3Co3(TeO8)2
101176,VOF3
101177,Li2VP2O7
101178,LiTiVO4
101179,LiFeO3
101180,Li2Mn3SbO8
101181,MnV4O12
101182,Li2AgF3
101183,Li3Mn2CoO6
101184,Co6O5F7
101185,Li4Ti2Mn3O10
101186,Co6OF11
101187,CeTh2O6
101188,Li2FeSiO4
101189,TiCo(PO4)2
101190,Li3Mn2(CO3)4
101191,Fe5(OF2)4
101192,Li4Co7(OF7)2
101193,FeOF
101194,Li6Mn3V(PO4)6
101195,Mn3OF5
101196,Li(CoO2)2
101197,V6O7F5
101198,NaVP2O7
101199,VFe3Sb2(PO4)6
101200,Li2TiV2O6
101201,LiV3OF11
101202,Li3Ti2(NiO4)2
101203,Li2Fe3Co5O16
101204,Li4Co7O3F13
101205,Li13Mn2O12
101206,Li2VP2O7
101207,Li3V5O12
101208,RbCrH4(C2O5)2
101209,Li2V(OF)2
101210,VOF3
101211,Li3MnVP2(O4F)2
101212,Al2O3
101213,Ba2In2O5
101214,Li2Si2NiO6
101215,LiMnF3
101216,Li2FeOF3
101217,LiCuF2
101218,LiMn(SiO3)2
101219,PH2NF2
101220,LiCr(CO3)2
101221,Li2Cu2F5
101222,Cr4CuO12
101223,LiAgF3
101224,Li2V3(OF)4
101225,Mn3OF5
101226,Na6SbO5
101227,Li2Mn3F8
101228,Li6MnO6
101229,Li2CuF4
101230,Li2MnSiO4
101231,Rb(WO3)2
101232,LiMnPO4
101233,Li4Fe3(OF3)2
101234,Li4Fe2Ni3Sb3O16
101235,Y2Pb2O7
101236,LiNiO2
101237,Ca2SiB2O7
101238,BaTi8O16
101239,Li2FeSiO4
101240,Co3SbO8
101241,LiTiFeO4
101242,Li10Fe4S9
101243,V3OF11
101244,Li2CuSiO4
101245,LiFeP2O7
101246,Mn3O5F
101247,Li5Co5O9F
101248,Li5Co2Cu3O10
101249,K4N2O5
101250,Li3Co2(CO3)4
101251,Li4Mn5Cu3O16
101252,V4O7F5
101253,V2OF5
101254,Li3Fe8(BO3)8
101255,Li2VP2O7
101256,ZrU4O10
101257,FePO4
101258,Li8Fe(O2F)2
101259,LiMnF4
101260,V3(O2F)2
101261,Li2Co3NiO8
101262,Fe4O5F3
101263,LiAg2F4
101264,Li3Ti4O8
101265,FeOF
101266,Li2CuS2
101267,LiAgF2
101268,Li2(FeO2)3
101269,Li5CoOF5
101270,LiVOF3
101271,Co(CO3)2
101272,VF4
101273,Li2CuSiO4
101274,Li8VO5F
101275,LiCu2C2O7
101276,LiTi3O6
101277,Li2Fe2Si2O7
101278,LiFeSiO4
101279,Li3Co2(SiO4)2
101280,Li3CuF4
101281,Fe2C2O7
101282,Li3Fe7O12
101283,LiCu3F7
101284,LiMn(PO3)3
101285,Li2FeSiO4
101286,Li3V2F8
101287,LiNiP2O7
101288,VCrO4
101289,Li3Fe3SiO8
101290,Li3V2(CO3)4
101291,Ba4Pb3O10
101292,VF5
101293,Li6(NiO2)5
101294,Fe4O3F5
101295,Na3BiO4
101296,LiVF3
101297,VF5
101298,Li2FeSiO4
101299,Li(CoO2)2
101300,LiV2(SiO4)2
101301,Li4V3(FeO5)2
101302,Na3VO4
101303,NaTi6O12
101304,V3(O2F)2
101305,Li4MnSb2WO12
101306,LiMn4O8
101307,Li8HfO6
101308,V2OF5
101309,NaYbO2
101310,LiFeSiO4
101311,LiTiP2O7
101312,LiAgF2
101313,LiCoS2
101314,Fe(CO3)2
101315,LiCu(PO3)2
101316,Li2MnF4
101317,RbMn4O8
101318,Cu6OF11
101319,VO2F
101320,Li(FeO2)2
101321,Li2MnF6
101322,LiV2O2F3
101323,LiMnF3
101324,FeOF
101325,Li2CrCoO4
101326,FeOF
101327,LiTi2O4
101328,Li4Cu(PO4)2
101329,CrOF
101330,MnCoO4
101331,Li2CoSiO4
101332,NaTiS2
101333,LiAg2F4
101334,BiOF
101335,Li4(FeO2)5
101336,LiCoSiO4
101337,ZrTi2O
101338,Li2CrCo3O8
101339,WOF4
101340,Li3Fe3OF7
101341,Li4CrSb(WO6)2
101342,VOF
101343,Sc5Cu5O13
101344,VO2F
101345,WO2F
101346,Li5Fe3(CoO5)2
101347,Li4Ti3(NiO4)3
101348,Li4Fe3(NiO5)2
101349,Li2V3O6
101350,Li7VO5F
101351,Li4V2P4H3O16
101352,LiNiPO4
101353,Li2TiCrO4
101354,VOF2
101355,Li4VO4F
101356,NaV3O8
101357,LiMnF4
101358,VOF2
101359,FeOF
101360,Mn4OF6
101361,Co2O3F
101362,Mn3(OF2)2
101363,Co3(OF2)2
101364,V2(OF)3
101365,Li3Fe2Ni3O10
101366,Li2Mn2OF6
101367,CeZr7O16
101368,LiNiPO4
101369,LiV3O5F
101370,Li4CuNi3O8
101371,Fe4OF7
101372,LiV3(OF2)4
101373,Ti8O13
101374,Li3VO3F2
101375,FeOF
101376,FeOF
101377,Li4Mn3Ni3(WO8)2
101378,Mn2OF4
101379,FeOF
101380,MnOF
101381,V2O3F
101382,U3O5
101383,LiFeCo3O8
101384,ZnSb
101385,NaSb3O8
101386,CoAgO2
101387,Co3(OF2)2
101388,Li6Mn(OF2)2
101389,Li2Mn2F7
101390,MnOF
101391,Mn6O5F7
101392,Li13(FeO6)2
101393,Li2AgF3
101394,Li4CoO4
101395,LiMnPO4
101396,LiVTe(WO6)2
101397,Co3TeO8
101398,VO2F
101399,V3O5F
101400,FeOF
101401,LiFeP2O7
101402,LiMn2F9
101403,Fe4O3F5
101404,Sr5Ir3O11
101405,NaGa5O8
101406,LiV3(O2F)2
101407,LiVF3
101408,LiMnF3
101409,ZnCoO3
101410,Na4Ni3O7
101411,Li3Mn4O8
101412,Ti3Fe3(SbO8)2
101413,VOF3
101414,LiCu5F12
101415,LiMn2F5
101416,Fe4OF7
101417,V3O5F
101418,Li3Ti2Mn3O10
101419,V2OF5
101420,Li2Cr3(CoO4)3
101421,Co3(OF2)2
101422,Li4Cr3(CoO4)3
101423,LiMnP3HO10
101424,Li3MnF6
101425,Fe4OF7
101426,Li2VO2F
101427,Li4NbTe2WO12
101428,Li2VO2F
101429,Li3Ti2Co3O10
101430,LiCoNiO4
101431,TiSnO4
101432,NaNi5O6
101433,Li2FeNiO4
101434,LiCrPHO5
101435,V2O2F3
101436,Li2VF4
101437,KI(OF)2
101438,TbBi5O9
101439,HoBO3
101440,Fe4O5F3
101441,Li5TiV3O8
101442,TiOF
101443,LiV2O2F3
101444,TiCo3O8
101445,Li5NiOF5
101446,Li3CuF6
101447,Li2Ti2FeO6
101448,Li4Mn3V3(WO8)2
101449,Ti2CoO5
101450,Fe4O3F5
101451,LiFe2OF5
101452,LaBi5O9
101453,Sr3Rh2O7
101454,Li2V2OF6
101455,LiFe2(BO3)2
101456,Li2V2F7
101457,Mn2O3F
101458,Li12Mn2O9
101459,LiVCuO4
101460,Li3V2Fe3O10
101461,LiMnP2O7
101462,LiMn7(OF3)3
101463,Li3V(OF)2
101464,Li3(CuO)4
101465,LiFe5O5F
101466,Li3(FeO2)4
101467,Li3Mn5O10
101468,LiCrSiO4
101469,LiVP2(HO4)2
101470,Ce5Gd2O13
101471,LiCu2F6
101472,Li2Cu2F7
101473,LiV2O3F
101474,Li4Ni3O3F4
101475,Li2VOF3
101476,Li3NiOF3
101477,LiMnSiO4
101478,Fe(CoO3)2
101479,Fe2OF3
101480,LiCuF2
101481,Li3Co2(SiO4)2
101482,Ca4Al6O13
101483,Li4Ni3Sn(PO4)4
101484,Li4MnO3F
101485,La2Bi4O9
101486,LiCo(CO3)2
101487,Li4Fe3CuO8
101488,Li2Mn5O10
101489,Li4Fe3Co5O16
101490,Mn6O5F7
101491,Yb2TiO5
101492,Li4Fe2SiO7
101493,Li2Ti(CoO3)2
101494,Li7Fe3(SiO6)2
101495,LiMn3O6
101496,Li4VF7
101497,Li3NbFe3O8
101498,LiMnF4
101499,Co5SbO12
101500,Li4Ti3V3O12
101501,Li2FeSiO4
101502,Cs(WO3)3
101503,WOF4
101504,LiP(WO4)2
101505,Sr2CuH2(SeO3)4
101506,Li2CuF4
101507,Ba5Bi3O11
101508,LiCoSiO4
101509,Li3Fe3(SnO5)2
101510,Na3Li4Mn5O9
101511,Li2VO2F
101512,Li2Cr(SiO3)2
101513,Li4CuF7
101514,Li3Ti4O8
101515,CaMn7O8
101516,Li3(FeO3)2
101517,Li6Mn5O10
101518,CrH10S2(NO2)4
101519,Li2MnV2O6
101520,Fe2OF3
101521,Li6CuF8
101522,Li3Ti2(FeO4)2
101523,Li5Cr2O8
101524,Li2Co(SiO3)2
101525,Li4NiOF4
101526,LiMn2O2F3
101527,FeOF
101528,Li4Mn3O6F
101529,LiV(PO3)3
101530,Li2Cu7F16
101531,LiMn(PO3)3
101532,Li3Mn3CoO8
101533,LiVCoO4
101534,LiCuCO3
101535,Dy2CO5
101536,Li(FeO2)3
101537,Fe4O7F
101538,La2Th2O7
101539,TiFe2O5
101540,Ti(CoO3)2
101541,Li4Nb2Fe3Te3O16
101542,BiOF
101543,Li2V(OF)2
101544,Li2BiO3
101545,HoIO
101546,YbTiO3
101547,Li2Fe3NiO8
101548,Li3Co2(CO3)4
101549,Fe2O3F
101550,Li4Ti3(FeO4)3
101551,Mn2F5
101552,LiVP3HO10
101553,Li2CuF4
101554,Li4Cr5O10
101555,HoIO
101556,LiFeNiO4
101557,SrH2(SeO3)2
101558,AgCO3
101559,Li2MnCo3O8
101560,LiFe2(CO3)3
101561,Li2CuPO4
101562,LiP2WO7
101563,SrCu2O3
101564,Li3V3(FeO5)2
101565,CaH4SO6
101566,Al(CoO2)2
101567,Li3Fe5(NiO6)2
101568,Li4Mn3(NiO4)3
101569,Fe3(OF)2
101570,Li2VO2F
101571,Li2P2WO8
101572,Li2(FeO2)3
101573,Yb4Sb2O
101574,Li2Cr(SiO3)2
101575,Fe4O7F
101576,Li2WS4
101577,Fe4O7F
101578,HfTiO4
101579,Mg(FeO2)2
101580,Li3Cu2F8
101581,VOF
101582,LiV2H4(OF5)2
101583,Li5CuF8
101584,VO2F
101585,Li5Si2NiO8
101586,Mg10FeO11
101587,LiMnPO4
101588,Li4Ti3VO8
101589,LiAgF4
101590,Fe4O3F5
101591,FeCuS2
101592,LiVF6
101593,Li4Ni2OF7
101594,Li4NbCo5O12
101595,Mn2F5
101596,LiAg2F4
101597,Fe4O3F5
101598,NaV2O5
101599,Li3MnNi3O8
101600,Li2Co(SiO3)2
101601,Li2Ni(CO3)2
101602,Fe2CoO4
101603,LiVSiO4
101604,Li3Co2(GeO4)2
101605,LiTiFe2O5
101606,SmAgO2
101607,LiCrO2
101608,LiMn3O6
101609,Li2Mn3NiO8
101610,LiFe(CO3)2
101611,Li2V4O3F8
101612,Sb6O5F8
101613,LiMn7O12
101614,Li2Mn3TeO8
101615,Li5VF8
101616,Li2Co3NiO8
101617,FeOF
101618,LiSnPHO5
101619,Li2Ti3V3O12
101620,LiMnF4
101621,Li6Fe5NiO12
101622,LiMn2F9
101623,LiMn2O3F
101624,Sn3(OF)2
101625,LiMnF5
101626,LiVPO5
101627,LiVPO5
101628,Li2CoSn(PO4)2
101629,Li5(CoO3)2
101630,Li2MnOF3
101631,LiMn2F7
101632,LiCrSi3O8
101633,Li8(FeO2)5
101634,Fe4O3F5
101635,LiCuF4
101636,Li3CrO4
101637,LiCo(CO3)2
101638,LaAgO2
101639,Li5MnCr3O8
101640,Li2CoSi3O8
101641,Li3Cr2CuO6
101642,LiVPO5
101643,VF5
101644,Co2C2O7
101645,Na2V6O13
101646,Li6CuF8
101647,Li3V3CrO8
101648,Li2V3(P2O7)2
101649,MnOF
101650,Li3Fe2P4HO14
101651,LiCuF4
101652,FeOF
101653,Li3FeNi3O8
101654,Li2CoNiO4
101655,LiAgF2
101656,Nd2NiO4
101657,LiAg5F12
101658,LiMn2OF3
101659,Li6NiOF6
101660,Li2MnOF3
101661,Li6NiOF6
101662,LiCo(CO3)2
101663,Mg9CuO10
101664,Li2Co(CO3)2
101665,CaCdO2
101666,Li3VF8
101667,LiVF5
101668,Fe3OF5
101669,Li2Mn(PO4)2
101670,LiCo2(CO3)4
101671,Li2NiP2O7
101672,LiV2O3F
101673,MnF3
101674,Li2(NiO2)3
101675,V3Cr3(TeO8)2
101676,PrYO2
101677,LiAgF2
101678,LiSi2NiO6
101679,Na4(NiO2)5
101680,Co3(O2F)2
101681,Mg11Mn2O13
101682,LiTiSiO4
101683,YUO4
101684,LiNi4O4F
101685,Li3Mn(OF)2
101686,Bi2OF4
101687,Li2Cr3CuO8
101688,Cr3(OF)2
101689,Co3O5F
101690,Li2Mn(PO4)2
101691,Eu2SeO2
101692,Mg3ZnO4
101693,Li2AgF5
101694,LiNi3OF5
101695,DyBO3
101696,Li3Nb4SnO12
101697,RbV4O10
101698,LiFePO4
101699,Li3Mn3O3F5
101700,Li4Mn2OF7
101701,LiAg2F6
101702,LiSiBiO4
101703,Li5Mn3(CoO5)2
101704,Li3Ni3OF7
101705,Ba2MnO4
101706,LiNi2O2F
101707,FeOF
101708,V4O7F5
101709,Li2V2F7
101710,Li3Fe2(CO3)4
101711,Li2VNiO4
101712,LiVF4
101713,LiV2OF5
101714,Li4VF8
101715,LiMn3(OF3)2
101716,LiCuF4
101717,LiVSiO4
101718,LiNi6O7
101719,Ba2CaI6
101720,Li2VSiO4
101721,Li2MnNiO4
101722,Fe(CoO2)2
101723,LiTiSiO4
101724,MnVP2(HO5)2
101725,Ba2CaI6
101726,Li2MnO2F
101727,Sr4LiCu(CO5)2
101728,Eu4O3F7
101729,Ce5Y2O13
101730,SrBi5O9
101731,CoRe2(H2O3)4
101732,Li2MnO2F
101733,BiOF
101734,Ca5MnO6
101735,LiFeSiO4
101736,Li4Sb(TeO4)3
101737,Li2MnO2F
101738,NaV3O6
101739,Li2CoCuO4
101740,WO2F
101741,YbIO
101742,Li2VSiO4
101743,Li3MnSi2O7
101744,LiCuS
101745,LiVF4
101746,LiVSiO4
101747,Sr3Ir2O7
101748,Li7Mn(O2F)2
101749,Li5NiOF5
101750,TaGaO4
101751,Li7V(O2F)2
101752,La(BiO2)2
101753,LiMnPO4
101754,LiMnPO4
101755,LiAgF4
101756,Nb4Tl4O13
101757,LiAg2F4
101758,NaNi2O3
101759,Li2Cu3F8
101760,Li2Cu2F5
101761,Li3VF6
101762,Co3WO8
101763,Li2NiOF2
101764,NaVO2
101765,Li2Mn4O3F8
101766,FePO4
101767,Li2NiP2O7
101768,Ga2CuO4
101769,WOF3
101770,Li3SiNi3O8
101771,K2Cd2O3
101772,Li3NiO2F
101773,Sc2TiO5
101774,LiV5O7F
101775,LiCu2(CO3)2
101776,LiMnOF2
101777,LiCuF3
101778,LiNi2OF3
101779,LiFePO4
101780,KLiCoO2
101781,Li2FeCoO4
101782,LiFe3OF5
101783,LiMn5O7F
101784,Li4TiCrO6
101785,Ba2B2O5
101786,Lu2Pt2O7
101787,LiFe2(PO4)2
101788,LiCuBO3
101789,Zr7VO16
101790,SrNd2O4
101791,Li3Mn3O5F3
101792,LiMn2(PO4)2
101793,Gd6WO12
101794,Ba5In5O12
101795,LiMn2(PO4)2
101796,Li3Ti2(NiO4)2
101797,LiCuCO3
101798,Li4Ti3Co3(TeO8)2
101799,LiP2WO8
101800,TiVO3
101801,Li4Bi2S7
101802,LiV(OF)2
101803,LiMn2O2F3
101804,LiMnFeO4
101805,SrLiLa3MnO8
101806,Mn3F10
101807,Mn2F7
101808,LiCrSiO4
101809,La5Cu5O13
101810,Li2VO2F
101811,Li3MnVP2(HO5)2
101812,LiMn3(OF3)2
101813,Li2Mn2OF6
101814,CrCoO4
101815,NaBeO2
101816,Li3BiS3
101817,Sb4O5F2
101818,Li2VCrP2(HO5)2
101819,LiMn(SiO3)2
101820,Li2Ni3OF6
101821,VF5
101822,Li2Si4Ni5O14
101823,LiFe2P2HO8
101824,Li6Mn(OF)3
101825,Li2TiCo2O5
101826,ZnNi9O10
101827,BiOF3
101828,Ce4ThO9
101829,Li4Mn3OF11
101830,TiCr7O12
101831,Nb3O7F
101832,BaCa2I6
101833,Li4Mn3OF11
101834,Li4Mn3(OF3)3
101835,LiV2O2F3
101836,Li5FeO3F
101837,LiNi5O5F
101838,LiV3(OF3)2
101839,TaCrO4
101840,LiNi2OF3
101841,Co2NiO6
101842,Li4VCo3O8
101843,LiCuBO3
101844,NbAlO4
101845,LiCoO2
101846,FeCo3O8
101847,LiV3(OF3)2
101848,LiMn2(PO4)2
101849,Li3BiS3
101850,BiOF
101851,Mn3Fe3O8
101852,LiV3O8
101853,LiNiPO4
101854,Li2MnCoO4
101855,Co3NiO8
101856,CrOF
101857,LiMnF4
101858,BaCaI4
101859,LiCo(CO3)2
101860,Li8Ni(O2F)2
101861,Zn(CoO2)2
101862,TiCuGe
101863,Fe3(OF)2
101864,LiVSiO4
101865,CeU5O12
101866,Li4FeSb(WO6)2
101867,Sb3O7F
101868,LiCoSnO4
101869,Li3TiS3
101870,Li3V4(OF3)3
101871,Li2Ni3O3F2
101872,Li5AlO4
101873,Li4V(PO4)2
101874,Li4MnO2F3
101875,Li4Mn3OF11
101876,LiMn2F7
101877,Li3Nb4VO12
101878,LiTiCoO4
101879,LiBiS2
101880,CrCo3O8
101881,LiCuS
101882,Li3MnOF4
101883,Sb3O4F
101884,LiTiSiO4
101885,TiWO4
101886,Li3Mn(PO4)2
101887,Sb3O4F
101888,Li3V2P4(HO8)2
101889,SrBi5O9
101890,CuPO4
101891,Li3BiS3
101892,Li4Fe3Sb5O16
101893,Li4Mn(OF)2
101894,LiFe2(PO4)2
101895,La2(BiO2)7
101896,VOF3
101897,WO2F
101898,Li2Mn(SiO3)2
101899,Li6FeNiP2(CO7)2
101900,Li3Mn2OF5
101901,Li2Mn2Si2O7
101902,LiTi3VO8
101903,Nb2O3F2
101904,Li3VF8
101905,HfCoO3
101906,Li5VO3F2
101907,Li2CoNiO4
101908,LiMnPO4
101909,Li7MnO5F
101910,SbOF
101911,Li2FeSi3O8
101912,LiCuF4
101913,Li3Mn3(FeO5)2
101914,VSn(PO4)2
101915,Li2BiO3
101916,Li4Mn3Co2Te3O16
101917,Li8TiS6
101918,Li2NiP2O7
101919,Rb6Ti2O7
101920,LiV6O7F5
101921,Mn5O5F
101922,MnCo3O8
101923,Cu4PtO5
101924,LiCoPO4
101925,Ce3Th2O9
101926,Cr(PO4)2
101927,Li2CuSbO5
101928,Li5MnO3F2
101929,LiNiOF
101930,LiVPHO5
101931,Li2VSiO4
101932,LiCo2(PO4)2
101933,Co9Cu3O16
101934,Sn3(OF)2
101935,LiTi4VO8
101936,Li2Ti4VO8
101937,LiVF6
101938,LiVF4
101939,Li5Fe2Co5O12
101940,Li2Mn7F16
101941,LiVF6
101942,Li2Cu3F8
101943,LiVF6
101944,MnF4
101945,BaCaI4
101946,Na5Mn2P2(CO7)2
101947,LiCo2(PO4)2
101948,SrLa3MnO8
101949,V2P2O7
101950,LiTiSiO4
101951,LaUO4
101952,Li3Fe2(NiO4)2
101953,Li2Co2SnO6
101954,Li14Fe2S9
101955,Ca5Mn8O13
101956,LiV(CO3)2
101957,Li2MnOF3
101958,Li2VCrO4
101959,Li3Fe3CoO8
101960,Mg3Fe3O8
101961,LiMn2F7
101962,Ti10O13
101963,BiOF
101964,Mg3Fe2O5
101965,VCrP2(HO5)2
101966,Li2VF6
101967,Li2V(CO3)2
101968,LiVF6
101969,Bi3O4F
101970,Li2MnF6
101971,Li3Mn(OF)2
101972,Li2MnOF3
101973,LiVF6
101974,LiCuS
101975,MnCoO4
101976,Mn7F18
101977,Mn5O7F
101978,Li2Mn(PO4)2
101979,BaCaI4
101980,PCl3O
101981,LiMn2O2F3
101982,LiMnPO4
101983,Fe(PS3)2
101984,Li3Mn3(OF)4
101985,Li4VCr3O8
101986,Fe2CoO6
101987,Mn9FeO10
101988,BaSrO2
101989,MnCo3O8
101990,Li5SbS
101991,VOF
101992,Li2Cu4S3
101993,LiMnPO4
101994,Li8MnO5F
101995,Li2NdPCO7
101996,LiTiP2O7
101997,LiVF6
101998,Zr2O
101999,Li3V2P4(HO8)2
102000,LiAlVO4
102001,Li2CrS3
102002,CrIrO4
102003,Li2Fe(SiO3)2
102004,Li4V2Cr3Co3O16
102005,FePO4
102006,Li2V2OF6
102007,Li3Nb2Fe3O10
102008,LiTiPCO7
102009,BiRu2O7
102010,Li3V2(CO3)4
102011,LiMn2O3F
102012,Li2VF5
102013,LiVSiO4
102014,Li4Mn3(FeO5)2
102015,VFeP2(HO5)2
102016,Li2Fe2SiO6
102017,LiFe2(PO4)2
102018,LiZrPCO7
102019,BaLaCl5
102020,SrLa2Cl8
102021,Na3Ni2P2(CO7)2
102022,LiTi2P4H3O16
102023,LiSnPO4
102024,LiTi2Mn3O10
102025,SbOF
102026,TiOF
102027,AlCrO4
102028,Li2MnO2F
102029,Li2VCrP2(HO5)2
102030,SbOF
102031,K2Mg2O3
102032,BaYBr5
102033,V4P2O13
102034,LiFe2(PO4)2
102035,Li4Nb3Fe3(SnO8)2
102036,Li2VF6
102037,Ba2GdSbO6
102038,Hf(MnSn)6
102039,CaPbI4
102040,PNO
102041,NaFePO4
102042,BiOF
102043,Li3Mn4O8
102044,LiVF4
102045,Ta2TiO6
102046,Li3BiS3
102047,Ba(WO3)6
102048,NbVO4
102049,Li3VCrP2(O4F)2
102050,LiV2OF5
102051,FeO
102052,Sn2OF2
102053,LiFe(SiO3)2
102054,Li2MnO2F
102055,Li2VCrP2(O4F)2
102056,Li3Cr2CoO6
102057,MnCd4O5
102058,Ba2Nb8O11
102059,Li4H3BrO3
102060,Y2Bi2O7
102061,Ho2Ge2O7
102062,Ho2Ge2O7
102063,LiVF6
102064,Li2Fe3NiO8
102065,LiV(PO4)2
102066,LiFeBO3
102067,Bi4O5F2
102068,Li2Si2WO7
102069,Li6V2OF11
102070,LiVSiO4
102071,Li3Ni2O2F3
102072,WOF4
102073,LiMn3(O2F)2
102074,Mn3SnO8
102075,Bi3O5
102076,TiOF
102077,BaCaI4
102078,Li5Fe(SiO4)2
102079,Ca3(PO4)2
102080,YIO
102081,Li4FeSi2O7
102082,Li3CuS2
102083,Li4Si2NiO7
102084,BaCa2I6
102085,Cu4OF6
102086,Li4Mn3V3(TeO8)2
102087,SrLiNb2O6F
102088,Li3BiS3
102089,GdOF
102090,LiCuS2
102091,Li2Mn2OF6
102092,Li3Ni5OF11
